,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
200,24.6,2.1,47.0,170.0,0.0,264.7,9.4,,1012.1,0.0
201,24.2,-5.5,36.7,977.0,0.0,105.8,15.3,,1015.1,0.0
202,20.6,-5.5,37.2,2504.3,,78.3,11.0,,1017.5,0.0
203,8.6,-80.7,32.3,756.4,280.0,255.7,13.6,,1016.5,0.0
204,11.0,-5.9,43.5,1423.8,180.0,183.9,9.6,,1018.0,0.0
205,15.9,-5.4,35.7,929.6,0.0,283.7,7.0,,1017.7,0.0
206,10.8,-4.5,39.9,1237.6,,219.2,10.0,,1018.0,0.0
207,18.3,0.9,41.9,286.9,,237.8,7.1,,1015.7,0.0
208,21.1,-14.4,36.7,1166.0,80.0,124.7,12.9,,1016.4,0.0
209,11.8,-22.1,34.5,939.8,,233.5,11.6,,1017.3,0.0
210,15.9,1.8,34.6,89.0,,296.0,9.4,,1015.9,0.0
211,15.8,-7.8,36.0,944.6,80.0,291.9,9.6,,1018.7,0.0
212,18.3,0.9,40.3,146.8,,249.8,8.9,,1014.0,0.0
213,18.1,-4.1,40.7,102.4,,339.8,8.3,,1015.1,0.0
214,23.8,5.0,34.0,954.8,,66.5,13.6,,1017.9,0.0
215,8.4,-31.6,38.9,454.1,130.0,213.8,17.5,,1015.4,0.0
216,9.8,-26.4,35.2,755.9,280.0,275.7,12.8,,1016.5,0.0
217,22.1,-0.0,46.7,47.8,0.0,216.7,11.1,,1013.0,0.0
218,15.1,-23.9,39.9,382.2,150.0,184.7,21.2,,1014.8,0.0
219,10.1,-18.1,36.2,1053.9,180.0,291.4,11.6,,1015.4,0.0
220,14.8,1.3,31.3,170.1,,334.7,8.6,,1015.2,0.0
221,20.8,-3.2,35.0,1588.9,0.0,34.6,8.5,,1018.8,0.0
222,11.5,-6.3,43.6,1345.1,0.0,250.4,9.1,,1018.1,0.0
223,18.9,-19.5,37.9,1123.0,100.0,137.7,14.5,,1017.3,0.0
224,12.6,-12.6,34.8,1276.8,,302.8,12.4,,1016.4,0.0
